thread_id,parent_thread_id,root_thread_id,depth,category,role,owning_problem,agent_path,agent_nickname,started_at_utc,models,archive_path,archive_sha256
01a00976-daf4-7861-8154-a0baab9ccf2d,,01a00976-daf4-7861-8154-a0baab9ccf2d,0,orchestration_support,root_orchestrator,,,,2026-08-16T07:26:19.383Z,gpt-5.6-sol,rollouts/codexvas01/sessions/2026/08/16/rollout-2026-08-16T07-26-19-01a00976-daf4-7861-8154-a0baab9ccf2d.jsonl.gz,32d6e6050d8b8b56d53616bb0aac3146d6f330e81d0953526c9bf77f05de04bc
01a0097a-da70-7462-af31-8cfdb46b0e63,01a00976-daf4-7861-8154-a0baab9ccf2d,01a00976-daf4-7861-8154-a0baab9ccf2d,1,orchestration_support,orchestration_support,,/root/inventory,Popper,2026-08-16T07:30:41.395Z,gpt-5.6-sol,rollouts/codexvas01/sessions/2026/08/16/rollout-2026-08-16T07-30-41-01a0097a-da70-7462-af31-8cfdb46b0e63.jsonl.gz,bc99d7ae109de578ac70a97405ef8298de71f098b69a220293c5db5403d02e5e
01a0097a-e79b-79c0-a765-017393e7de17,01a00976-daf4-7861-8154-a0baab9ccf2d,01a00976-daf4-7861-8154-a0baab9ccf2d,1,orchestration_support,orchestration_support,,/root/logging,Hegel,2026-08-16T07:30:44.766Z,gpt-5.6-sol,rollouts/codexvas01/sessions/2026/08/16/rollout-2026-08-16T07-30-44-01a0097a-e79b-79c0-a765-017393e7de17.jsonl.gz,17446ba6efece5723dccd55dda90b734f568846d1dbae743718f2fd9fc0dda94
01a0097a-f52b-7602-83a8-52052485594a,01a00976-daf4-7861-8154-a0baab9ccf2d,01a00976-daf4-7861-8154-a0baab9ccf2d,1,orchestration_support,orchestration_support,,/root/submission,Rawls,2026-08-16T07:30:48.238Z,gpt-5.6-sol,rollouts/codexvas01/sessions/2026/08/16/rollout-2026-08-16T07-30-48-01a0097a-f52b-7602-83a8-52052485594a.jsonl.gz,f0da5ee601e2d6c90aea1a29b3994a9af8cbd594e97a61c2ef6dfa43f8316fc8
01a0098d-0012-7c31-843b-2d09888ca47c,,01a0098d-0012-7c31-843b-2d09888ca47c,0,setup,setup,_toy_logging,,,2026-08-16T07:50:30.679Z,gpt-5.6-luna,rollouts/codexvas01/sessions/2026/08/16/rollout-2026-08-16T07-50-30-01a0098d-0012-7c31-843b-2d09888ca47c.jsonl.gz,a4d730c8bd491804639bda1c82181b8aedae0894c58d2e5efbee4807f337352c
01a0099e-9f8e-7273-acdd-2e766d31c410,,01a0099e-9f8e-7273-acdd-2e766d31c410,0,problem_controller,primary_problem_rollout,cubic_decay_asymptotic,,,2026-08-16T08:09:45.622Z,gpt-5.6-sol,rollouts/codexvas01/sessions/2026/08/16/rollout-2026-08-16T08-09-45-01a0099e-9f8e-7273-acdd-2e766d31c410.jsonl.gz,614fa5552ae9131f84ecbb5f646af35dfe6c3f482a3980432074b074806099aa
01a0099e-9f9e-7221-81f8-97e48cfa1818,,01a0099e-9f9e-7221-81f8-97e48cfa1818,0,problem_controller,primary_problem_rollout,koszul_formula,,,2026-08-16T08:09:45.635Z,gpt-5.6-terra,rollouts/lean4lean4/sessions/2026/08/16/rollout-2026-08-16T08-09-45-01a0099e-9f9e-7221-81f8-97e48cfa1818.jsonl.gz,e593d4933bcf21ce455010a340b600b2d0b4e8de10f0ea15b51e0d3a21a6df86
01a0099e-9f9e-7961-bf39-4581f9167f06,,01a0099e-9f9e-7961-bf39-4581f9167f06,0,problem_controller,primary_problem_rollout,symplectic_matrix_det,,,2026-08-16T08:09:45.637Z,gpt-5.6-luna,rollouts/vilin/sessions/2026/08/16/rollout-2026-08-16T08-09-45-01a0099e-9f9e-7961-bf39-4581f9167f06.jsonl.gz,d2efae3a44c8c684fc674e0c073a5cf7d9cd169fa206eb837192c0702750ef1a
01a009a0-7ac7-78d2-9de4-4b5d71846557,,01a009a0-7ac7-78d2-9de4-4b5d71846557,0,problem_controller,primary_problem_rollout,mulCayley_connected_iff_closure_eq_top,,,2026-08-16T08:11:47.277Z,gpt-5.6-sol,rollouts/codexvas01/sessions/2026/08/16/rollout-2026-08-16T08-11-47-01a009a0-7ac7-78d2-9de4-4b5d71846557.jsonl.gz,297db6332d1fafd7f3bc260fa47fdfec546337997fbdedc8df1fb88ffb7310fa
01a009a0-7ad2-7bc3-b502-b32f4f512b57,,01a009a0-7ad2-7bc3-b502-b32f4f512b57,0,problem_controller,primary_problem_rollout,substInv_X_sub_X_sq_eq_catalan,,,2026-08-16T08:11:47.288Z,gpt-5.6-sol,rollouts/vilin/sessions/2026/08/16/rollout-2026-08-16T08-11-47-01a009a0-7ad2-7bc3-b502-b32f4f512b57.jsonl.gz,ce1f03c40fec9d4bee8118c34581697ff6524721520680560768b4de8c9faa4b
01a009a0-7ad6-7082-8535-c728e5741e87,,01a009a0-7ad6-7082-8535-c728e5741e87,0,problem_controller,primary_problem_rollout,bvp_comparison,,,2026-08-16T08:11:47.295Z,gpt-5.6-terra,rollouts/lean4lean4/sessions/2026/08/16/rollout-2026-08-16T08-11-47-01a009a0-7ad6-7082-8535-c728e5741e87.jsonl.gz,fe4d87d9ac0d514869288a571daedf86907f9bb4e5c8fd74111782830e2bd0eb
01a009a0-c971-7650-b7ae-01625f8461dc,01a009a0-7ad2-7bc3-b502-b32f4f512b57,01a009a0-7ad2-7bc3-b502-b32f4f512b57,1,nested_problem_agents,nested_problem_subagent,substInv_X_sub_X_sq_eq_catalan,/root/substinv_api,Carver,2026-08-16T08:12:07.412Z,gpt-5.6-sol,rollouts/vilin/sessions/2026/08/16/rollout-2026-08-16T08-12-07-01a009a0-c971-7650-b7ae-01625f8461dc.jsonl.gz,962f8899c0229579e59c0d950b83ba13a8a8d9977890928b34e94760a9d08953
01a009a0-d8de-74f3-92a2-580e089a5bd5,01a009a0-7ad2-7bc3-b502-b32f4f512b57,01a009a0-7ad2-7bc3-b502-b32f4f512b57,1,nested_problem_agents,nested_problem_subagent,substInv_X_sub_X_sq_eq_catalan,/root/catalan_coeff,Kuhn,2026-08-16T08:12:11.361Z,gpt-5.6-sol,rollouts/vilin/sessions/2026/08/16/rollout-2026-08-16T08-12-11-01a009a0-d8de-74f3-92a2-580e089a5bd5.jsonl.gz,6bc13d5e7ae3cc9baba8c12e232f566abe9b385d4ebda3a0f4c6a1d69412c0a1
01a009a0-e830-7042-b47a-881ec9348dec,01a009a0-7ad2-7bc3-b502-b32f4f512b57,01a009a0-7ad2-7bc3-b502-b32f4f512b57,1,nested_problem_agents,nested_problem_subagent,substInv_X_sub_X_sq_eq_catalan,/root/independent_proof,Bohr,2026-08-16T08:12:15.284Z,gpt-5.6-sol,rollouts/vilin/sessions/2026/08/16/rollout-2026-08-16T08-12-15-01a009a0-e830-7042-b47a-881ec9348dec.jsonl.gz,7efed22d597851001185abf03ee045fecebe93130f0ab8297c1e2177ab2a3249
01a009a1-ec10-79b1-988e-fdcb1fad302e,01a0097a-da70-7462-af31-8cfdb46b0e63,01a00976-daf4-7861-8154-a0baab9ccf2d,2,orchestration_support,orchestration_support,,/root/inventory/lune_apis,Noether,2026-08-16T08:13:21.811Z,gpt-5.6-sol,rollouts/codexvas01/sessions/2026/08/16/rollout-2026-08-16T08-13-21-01a009a1-ec10-79b1-988e-fdcb1fad302e.jsonl.gz,2f83084ee2e342cf702c95b2c3e7e662ce73f2a2817c8b2b46947ddc061a19f7
